"","OCC","MET2013","YEAR","MULTYEAR","SAMPLE","SERIAL","HHWT","DENSITY","MET2013ERR","METPOP10","OWNERSHP","OWNERSHPD","HHINCOME","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","INCTOT","SEI","Metro","Occupation"
"9574251",2861,41940,2022,2022,202203,956256,12,7695.6,4,1836911,1,13,170000,12,2,57,5,500,0,0,11,114,26,2601,0,0,20000,31,"San Jose-Sunnyvale-Santa Clara, CA","Interpreters and translators"
"1998946",0,0,2022,2020,202203,4063391,1,46.3,0,29109,1,12,77733,1,1,74,8,826,4,498,6,63,0,0,0,0,38074,0,"Not in identifiable area","N/A (not applicable)"
"10423489",3648,0,2022,2018,202203,6846000,11,1108.2,0,605435,1,13,195233,16,2,23,1,100,0,0,10,101,11,1103,0,0,9352,38,"Not in identifiable area","Veterinary assistants and laboratory animal caretakers"
"4096727",0,35620,2022,2019,202203,3929867,14,2008.1,2,19567410,1,12,28246,15,2,90,1,100,0,0,6,63,0,0,0,0,28246,0,"New York-Newark-Jersey City, NY-NJ-PA","N/A (not applicable)"
"138007",0,0,2022,2021,202203,78920,5,200.1,0,110848,1,13,129709,4,2,58,2,200,0,0,6,63,0,0,0,0,0,0,"Not in identifiable area","N/A (not applicable)"
"13016603",5260,35620,2022,2018,202203,3864662,32,24361.1,2,19567410,2,22,115269,22,1,47,2,200,0,0,6,63,0,0,0,0,468,44,"New York-Newark-Jersey City, NY-NJ-PA","File clerks"
"12313434",4760,38060,2022,2018,202203,125812,16,8075.6,2,4192887,0,0,9999999,16,1,21,1,100,0,0,7,71,0,0,0,0,0,47,"Phoenix-Mesa-Scottsdale, AZ","Retail salespersons"
"12806440",5140,17140,2022,2021,202203,4967147,21,178.1,4,2114580,1,13,319518,16,2,56,1,100,0,0,7,71,0,0,0,0,68097,44,"Cincinnati, OH-KY-IN","Payroll and timekeeping clerks"
"6334263",0,42660,2022,2019,202203,6668177,13,4161.6,1,3439809,1,13,229643,10,2,14,4,400,0,0,2,25,0,0,0,0,9999999,0,"Seattle-Tacoma-Bellevue, WA","N/A (not applicable)"
"5677438",0,18140,2022,2022,202203,4997532,11,4893.8,4,1901974,1,12,65000,11,2,85,1,100,0,0,11,116,23,2313,0,0,65000,0,"Columbus, OH","N/A (not applicable)"
"3348937",0,16860,2022,2020,202203,1857339,10,307.8,6,337879,0,0,9999999,10,1,38,1,100,0,0,8,81,0,0,0,0,0,0,"Chattanooga, TN-GA","N/A (not applicable)"
"13975098",6355,48660,2022,2018,202203,5837729,11,1022,6,151306,2,22,35072,11,1,22,1,100,0,0,7,71,0,0,0,0,32734,44,"Wichita Falls, TX","Electricians"
"15627239",9720,0,2022,2018,202203,3170874,23,88.5,0,28623,2,22,56407,40,2,19,1,100,0,0,6,61,0,0,0,0,58,8,"Not in identifiable area","Refuse and recyclable material collectors"
"10475557",3801,11100,2022,2019,202203,5993455,6,1423.4,4,251933,1,12,112525,6,1,76,1,100,0,0,10,101,53,5301,0,0,65678,34,"Amarillo, TX","Bailiffs"
"14678536",8225,0,2022,2021,202203,3532716,22,174.7,0,99668,1,13,175972,14,1,66,1,100,0,0,6,63,0,0,0,0,19997,18,"Not in identifiable area","Other metal workers and plastic workers"
"11001208",4110,19380,2022,2022,202203,4977048,11,911.5,1,799232,0,0,9999999,11,2,19,2,200,0,0,6,65,0,0,0,0,12000,16,"Dayton, OH","Waiters and waitresses"
"14784395",8740,42140,2022,2019,202203,4053077,38,554.6,1,144170,1,12,16948,39,1,68,1,100,1,100,7,71,0,0,0,0,16948,18,"Santa Fe, NM","Inspectors, testers, sorters, samplers, and weighers"
"4110045",0,35620,2022,2018,202203,4109961,12,5057.5,2,19567410,1,13,270053,10,1,5,1,100,0,0,1,11,0,0,0,0,9999999,0,"New York-Newark-Jersey City, NY-NJ-PA","N/A (not applicable)"
"2086327",0,36740,2022,2019,202203,1496722,75,1207.1,4,2134411,2,22,54196,73,2,5,1,100,2,200,1,11,0,0,0,0,9999999,0,"Orlando-Kissimmee-Sanford, FL","N/A (not applicable)"
"5168327",0,40380,2022,2022,202203,4477287,2,180.4,5,494243,1,12,45500,1,2,91,1,100,0,0,10,101,23,2304,0,0,45500,0,"Rochester, NY","N/A (not applicable)"
"4217065",0,31080,2022,2018,202203,394376,41,10725.6,1,12828837,2,22,34604,49,2,62,1,100,0,0,6,63,0,0,0,0,0,0,"Los Angeles-Long Beach-Anaheim, CA","N/A (not applicable)"
"6329407",0,41180,2022,2021,202203,3661603,71,2801,5,2787701,2,22,30093,71,2,94,1,100,0,0,6,63,0,0,0,0,30093,0,"St. Louis, MO-IL","N/A (not applicable)"
"1791752",0,0,2022,2019,202203,5060546,9,130.8,0,213247,1,13,28246,9,2,73,1,100,0,0,6,61,0,0,0,0,10334,0,"Not in identifiable area","N/A (not applicable)"
"2884884",0,38860,2022,2022,202203,2847639,19,215.1,1,514098,1,12,4500,19,2,70,1,100,0,0,6,63,0,0,0,0,4500,0,"Portland-South Portland, ME","N/A (not applicable)"
"8432953",1760,14460,2022,2022,202203,3128364,23,1795.9,3,4552402,1,13,525050,28,2,45,7,700,0,0,10,101,61,6105,0,0,175000,80,"Boston-Cambridge-Newton, MA-NH","Physical scientists, all other"
"3840229",0,0,2022,2022,202203,6824748,8,507,0,275827,1,13,50200,12,1,16,1,100,0,0,4,40,0,0,0,0,0,0,"Not in identifiable area","N/A (not applicable)"
"10089505",3430,0,2022,2018,202203,4040214,6,39,0,66697,0,0,9999999,6,1,25,3,315,0,0,2,23,0,0,0,0,29226,48,"Not in identifiable area","Dietetic technicians and ophthalmic medical technicians"
"14390876",7360,0,2022,2022,202203,3350457,6,80.8,0,32078,1,13,72790,5,1,62,1,100,0,0,7,71,0,0,0,0,60000,31,"Not in identifiable area","Millwrights"
"9054829",2310,12060,2022,2018,202203,1772781,21,901.8,4,5286728,1,13,72482,21,2,55,1,100,4,420,11,115,23,2304,0,0,72482,72,"Atlanta-Sandy Springs-Roswell, GA","Elementary and middle school teachers"
"12539515",4920,12580,2022,2021,202203,2944767,19,802.3,3,2710489,1,13,261581,19,1,52,1,100,0,0,10,101,19,1901,0,0,162137,62,"Baltimore-Columbia-Towson, MD","Real estate brokers and sales agents"
"8834520",2205,35620,2022,2018,202203,3887527,9,2069,2,19567410,1,13,247724,9,1,72,1,100,0,0,11,116,60,6006,0,0,163551,84,"New York-Newark-Jersey City, NY-NJ-PA","Postsecondary teachers"
"5613161",0,26420,2022,2019,202203,5975483,10,6391.3,3,5920416,1,12,581802,11,1,71,1,100,0,0,10,101,24,2414,0,0,559985,0,"Houston-The Woodlands-Sugar Land, TX","N/A (not applicable)"
"785636",0,16700,2022,2022,202203,5639900,10,1214.4,1,664607,1,12,36400,9,2,77,1,100,0,0,6,63,0,0,0,0,9000,0,"Charleston-North Charleston, SC","N/A (not applicable)"
"2943329",0,38900,2022,2019,202203,5141723,30,2041.6,5,2226009,1,13,143527,32,1,4,1,100,0,0,0,2,0,0,0,0,9999999,0,"Portland-Vancouver-Hillsboro, OR-WA","N/A (not applicable)"
"12632825",5000,40900,2022,2021,202203,787322,10,4260.1,1,2149127,1,13,143761,10,2,55,1,100,0,0,7,71,0,0,0,0,86473,68,"Sacramento--Roseville--Arden-Arcade, CA","First-line supervisors of office and administrative support workers"
"12859676",5240,41700,2022,2018,202203,5919405,10,4157.1,4,2142508,2,22,14029,9,2,44,1,100,4,498,0,2,0,0,0,0,14029,44,"San Antonio-New Braunfels, TX","Customer service representatives"
"2811216",0,0,2022,2018,202203,5654685,74,157.2,0,82429,1,13,29519,68,1,7,1,100,0,0,1,14,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"2178055",0,19660,2022,2020,202203,1532729,16,1542.3,1,590289,1,12,38051,10,1,67,1,100,0,0,5,50,0,0,0,0,22210,0,"Deltona-Daytona Beach-Ormond Beach, FL","N/A (not applicable)"
"1848567",0,10900,2022,2022,202203,5454759,3,1764.3,1,821173,0,0,9999999,3,1,54,2,200,0,0,10,101,49,4901,0,0,0,0,"Allentown-Bethlehem-Easton, PA-NJ","N/A (not applicable)"
"8946354",2310,12060,2022,2021,202203,1906749,45,901.8,4,5286728,1,13,165812,36,2,34,6,610,0,0,10,101,24,2408,0,0,51235,72,"Atlanta-Sandy Springs-Roswell, GA","Elementary and middle school teachers"
"11829777",4700,42660,2022,2021,202203,6744761,20,779.2,1,3439809,1,13,162353,20,1,38,6,660,0,0,6,63,0,0,0,0,65936,68,"Seattle-Tacoma-Bellevue, WA","First-line supervisors of retail sales workers"
"1288222",0,0,2022,2020,202203,2667411,8,94.1,0,37300,1,12,39660,11,1,8,1,100,0,0,1,14,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"4211393",0,10740,2022,2021,202203,4066982,54,3358,3,887077,2,22,411,43,2,4,1,100,1,100,0,2,0,0,0,0,9999999,0,"Albuquerque, NM","N/A (not applicable)"
"5399160",0,46540,2022,2021,202203,4416211,22,164.7,5,299397,1,12,71989,25,1,69,1,100,0,0,8,81,0,0,0,0,36751,0,"Utica-Rome, NY","N/A (not applicable)"
"5064238",0,38900,2022,2020,202203,5161756,14,3394.2,5,2226009,1,13,135524,6,1,28,1,100,0,0,6,61,0,0,0,0,2266,0,"Portland-Vancouver-Hillsboro, OR-WA","N/A (not applicable)"
"613069",0,0,2022,2021,202203,6199248,43,155.6,0,405603,1,13,62693,66,2,14,1,100,1,100,2,25,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"3775865",0,33460,2022,2019,202203,3389038,17,1157.3,5,3348859,0,0,9999999,17,1,28,1,100,0,0,6,65,0,0,0,0,0,0,"Minneapolis-St. Paul-Bloomington, MN-WI","N/A (not applicable)"
"14714527",8320,39340,2022,2018,202203,6369257,15,5181.9,3,526810,2,22,80665,15,2,35,1,100,0,0,10,101,29,2901,0,0,10522,18,"Provo-Orem, UT","Sewing machine operators"
"913999",0,0,2022,2019,202203,1420008,13,55.5,0,111452,0,0,9999999,13,1,48,2,200,0,0,6,64,0,0,0,0,0,0,"Not in identifiable area","N/A (not applicable)"
"10821425",4030,45300,2022,2020,202203,1574080,10,4168.5,1,2783243,2,22,13042,12,1,20,1,100,0,0,7,71,0,0,0,0,4533,15,"Tampa-St. Petersburg-Clearwater, FL","Food preparation workers"
"14141121",6800,0,2022,2020,202203,6111420,79,104.6,0,50654,1,12,209631,79,1,53,1,100,0,0,10,101,62,6203,0,0,209631,10,"Not in identifiable area","Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
"4027520",0,29820,2022,2022,202203,3814708,65,3127.3,1,1951269,1,12,6000,63,2,10,7,700,1,100,2,22,0,0,0,0,9999999,0,"Las Vegas-Henderson-Paradise, NV","N/A (not applicable)"
"3291654",0,18140,2022,2019,202203,4831714,13,827.8,5,1901974,1,12,197723,12,1,70,1,100,0,0,10,101,62,6206,0,0,79457,0,"Columbus, OH","N/A (not applicable)"
"13686993",6050,0,2022,2022,202203,338943,10,111.1,0,24159,1,13,63000,10,1,53,1,100,0,0,6,64,0,0,0,0,36000,6,"Not in identifiable area","Other agricultural workers"
"12446957",4840,35300,2022,2021,202203,1251822,14,8285.9,1,862477,0,0,9999999,14,2,19,2,200,0,0,6,63,0,0,0,0,9188,47,"New Haven-Milford, CT","Sales representatives of services, except advertising, insurance, financial services, and travel"
"2934017",0,0,2022,2021,202203,6924254,17,70.9,0,69829,1,13,123224,15,1,8,1,100,0,0,1,14,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"991185",0,0,2022,2020,202203,6899827,1,55.2,0,45820,1,13,179036,1,1,73,1,100,0,0,10,101,37,3700,0,0,179036,0,"Not in identifiable area","N/A (not applicable)"
"5064284",0,47900,2022,2018,202203,2860985,13,4616.4,5,5636232,1,13,310561,12,2,15,8,801,4,415,2,26,0,0,0,0,0,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","N/A (not applicable)"
"5199297",0,31080,2022,2021,202203,884916,14,383.7,1,12828837,1,13,41615,15,2,71,8,826,1,100,6,65,0,0,0,0,14052,0,"Los Angeles-Long Beach-Anaheim, CA","N/A (not applicable)"
"13353307",5740,47900,2022,2019,202203,6495129,7,2003.7,5,5636232,1,12,30313,7,1,66,1,100,4,428,10,101,55,5506,0,0,30313,61,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Secretaries and administrative assistants, except legal, medical, and executive"
"2335885",0,0,2022,2021,202203,2783475,8,212,0,92971,1,12,59450,8,1,64,1,100,0,0,6,63,0,0,0,0,59450,0,"Not in identifiable area","N/A (not applicable)"
"10496722",3802,0,2022,2020,202203,196861,5,22.8,0,91318,1,12,132170,4,1,32,3,315,0,0,6,63,0,0,0,0,23909,34,"Not in identifiable area","Correctional officers and jailers"
"14668500",8225,0,2022,2019,202203,4226883,13,110.2,0,111944,1,13,130897,13,1,49,1,100,0,0,6,64,0,0,0,0,82672,18,"Not in identifiable area","Other metal workers and plastic workers"
"5189795",0,41180,2022,2021,202203,3645472,21,3809.4,5,2787701,2,22,66476,19,1,8,8,826,1,100,1,14,0,0,0,0,9999999,0,"St. Louis, MO-IL","N/A (not applicable)"
"8689407",2100,12060,2022,2022,202203,1945018,10,5280.4,4,5286728,1,13,253600,9,2,46,1,100,0,0,11,115,19,1902,0,0,3600,93,"Atlanta-Sandy Springs-Roswell, GA","Lawyers, and judges, magistrates, and other judicial workers"
"14054325",6410,12260,2022,2021,202203,5605600,10,285.7,5,564873,1,12,17295,10,1,55,2,200,0,0,6,63,0,0,0,0,8107,16,"Augusta-Richmond County, GA-SC","Painters and paperhangers"
"10083516",3424,0,2022,2018,202203,6849335,6,70.3,0,109908,1,13,122050,7,2,30,1,100,0,0,7,71,0,0,0,0,43723,48,"Not in identifiable area","Veterinary technologists and technicians"
"15130996",9130,37980,2022,2018,202203,3880568,9,842.3,2,5965343,1,13,73370,15,1,20,1,100,0,0,8,81,0,0,0,0,304,15,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Driver/sales workers and truck drivers"
"5750234",0,31080,2022,2022,202203,1019017,22,5557.8,1,12828837,1,13,188910,18,2,59,1,100,0,0,6,63,0,0,0,0,0,0,"Los Angeles-Long Beach-Anaheim, CA","N/A (not applicable)"
"1143768",0,0,2022,2022,202203,3692917,8,47.6,0,17673,1,13,38000,9,1,7,1,100,0,0,1,14,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"9207263",2330,19100,2022,2019,202203,5979705,24,5030.9,3,6426214,2,22,33298,25,2,53,2,200,0,0,10,101,62,6207,0,0,33298,52,"Dallas-Fort Worth-Arlington, TX","Special education teachers"
"5862935",0,41940,2022,2018,202203,398090,50,7128.5,4,1836911,2,22,36475,43,2,82,4,400,0,0,11,114,23,2304,0,0,14847,0,"San Jose-Sunnyvale-Santa Clara, CA","N/A (not applicable)"
"4996059",0,33100,2022,2021,202203,1651451,9,5995.2,2,5564635,1,13,26374,12,2,78,8,826,3,300,6,65,0,0,0,0,9944,0,"Miami-Fort Lauderdale-West Palm Beach, FL","N/A (not applicable)"
"4945565",0,44060,2022,2022,202203,6753754,1,1919.2,5,527753,0,0,9999999,1,2,84,1,100,0,0,10,101,40,4002,0,0,106000,0,"Spokane-Spokane Valley, WA","N/A (not applicable)"
"5101435",0,40140,2022,2022,202203,1011296,11,1888.8,1,4224851,1,12,71400,12,1,68,1,100,0,0,6,63,0,0,0,0,53400,0,"Riverside-San Bernardino-Ontario, CA","N/A (not applicable)"
"10610970",3945,38900,2022,2021,202203,6748754,31,3376.5,5,2226009,2,22,77826,31,1,30,1,100,0,0,7,71,0,0,0,0,45398,63,"Portland-Vancouver-Hillsboro, OR-WA","Transportation security screeners"
"14144646",6835,0,2022,2021,202203,210029,6,174.8,0,100242,0,0,9999999,6,1,21,8,826,4,498,6,65,0,0,0,0,25942,18,"Not in identifiable area","Explosives workers, ordnance handling experts, and blasters"
"7642669",710,33460,2022,2022,202203,3487499,4,158.9,4,3348859,1,12,211800,4,2,70,1,100,0,0,8,81,0,0,0,0,89000,86,"Minneapolis-St. Paul-Bloomington, MN-WI","Management analysts"
"3463034",0,40140,2022,2021,202203,776655,4,1566.5,1,4224851,0,0,9999999,4,1,59,2,200,0,0,7,71,0,0,0,0,0,0,"Riverside-San Bernardino-Ontario, CA","N/A (not applicable)"
"3982487",0,17820,2022,2020,202203,1133528,15,1062.7,1,645613,1,13,180169,7,2,16,6,610,0,0,4,40,0,0,0,0,0,0,"Colorado Springs, CO","N/A (not applicable)"
"1095016",0,27140,2022,2018,202203,3490232,14,2674.3,5,567122,0,0,9999999,14,2,18,2,200,0,0,6,65,0,0,0,0,0,0,"Jackson, MS","N/A (not applicable)"
"4821894",0,14260,2022,2022,202203,2042597,20,204.6,5,246824,1,12,165450,15,1,15,1,100,0,0,2,26,0,0,0,0,450,0,"Boise City, ID","N/A (not applicable)"
"6154494",0,35620,2022,2019,202203,3930217,10,18779.9,2,19567410,1,13,227691,11,2,18,2,200,0,0,6,61,0,0,0,0,1493,0,"New York-Newark-Jersey City, NY-NJ-PA","N/A (not applicable)"
"2519182",0,12700,2022,2022,202203,3134343,14,545.5,6,111570,1,13,4700,13,2,80,1,100,0,0,6,63,0,0,0,0,4700,0,"Barnstable Town, MA","N/A (not applicable)"
"726989",0,0,2022,2022,202203,341741,27,89.1,0,41269,2,22,6000,26,1,62,2,200,0,0,7,71,0,0,0,0,6000,0,"Not in identifiable area","N/A (not applicable)"
"3020211",0,15180,2022,2019,202203,5967681,24,4546.1,1,406220,1,13,123273,27,2,29,1,100,1,100,6,61,0,0,0,0,12401,0,"Brownsville-Harlingen, TX","N/A (not applicable)"
"14268587",7210,0,2022,2020,202203,5741785,12,58.3,0,23791,1,12,107648,10,1,37,2,200,0,0,4,40,0,0,0,0,47592,19,"Not in identifiable area","Bus and truck mechanics and diesel engine specialists"
"14213032",7200,19820,2022,2018,202203,3169214,19,4129.9,4,4296250,1,12,112931,19,1,62,1,100,0,0,6,65,0,0,0,0,77158,19,"Detroit-Warren-Dearborn, MI","Automotive service technicians and mechanics"
"13792579",6230,45820,2022,2018,202203,2556297,22,2568.4,6,233870,1,13,160161,34,1,44,8,830,1,100,6,63,0,0,0,0,86510,19,"Topeka, KS","Carpenters"
"8088850",1050,19380,2022,2018,202203,4771031,13,419.5,1,799232,1,13,50270,14,1,37,1,100,0,0,7,71,0,0,0,0,50270,65,"Dayton, OH","Computer support specialists"
"14989750",9121,46520,2022,2021,202203,2000222,5,4377.3,1,953207,1,13,32752,3,2,74,1,100,0,0,6,61,0,0,0,0,20754,24,"Urban Honolulu, HI","Bus drivers, school"
"1908105",0,11260,2022,2022,202203,124375,7,86.3,6,181760,1,13,64900,8,1,84,1,100,0,0,10,101,24,2408,0,0,50000,0,"Anchorage, AK","N/A (not applicable)"
"14682225",8225,0,2022,2022,202203,2456358,26,696.5,0,172425,2,22,26000,26,2,44,1,100,0,0,8,81,0,0,0,0,10000,18,"Not in identifiable area","Other metal workers and plastic workers"
"11429694",4251,46060,2022,2019,202203,164207,15,5551.2,1,980263,2,22,23309,15,1,66,7,700,1,100,6,65,0,0,0,0,23309,11,"Tucson, AZ","Landscaping and groundskeeping workers"
"2589849",0,13780,2022,2019,202203,4223658,14,3094,5,251725,1,13,0,14,2,62,1,100,0,0,6,63,0,0,0,0,0,0,"Binghamton, NY","N/A (not applicable)"
"5288223",0,49420,2022,2021,202203,6733647,12,230.4,1,243231,1,13,93391,15,2,15,7,700,1,100,2,26,0,0,0,0,0,0,"Yakima, WA","N/A (not applicable)"
"11599931",4540,0,2022,2022,202203,1973006,8,124.1,0,58192,1,12,85900,9,1,71,1,100,0,0,10,101,55,5506,0,0,65500,26,"Not in identifiable area","Tour and travel guides"
"11357086",4230,33100,2022,2018,202203,1333061,24,7807.8,2,5564635,2,22,19874,23,2,40,2,200,0,0,6,63,0,0,0,0,19874,10,"Miami-Fort Lauderdale-West Palm Beach, FL","Maids and housekeeping cleaners"
"7742405",800,31080,2022,2021,202203,898393,11,7721.8,1,12828837,1,13,207535,10,2,50,4,400,0,0,10,101,62,6201,0,0,77826,78,"Los Angeles-Long Beach-Anaheim, CA","Accountants and auditors"
"4523809",0,41940,2022,2019,202203,534448,11,3305.1,4,1836911,1,13,246384,10,1,72,5,500,0,0,7,71,0,0,0,0,223994,0,"San Jose-Sunnyvale-Santa Clara, CA","N/A (not applicable)"
"2378739",0,19820,2022,2018,202203,3177842,48,2899,4,4296250,2,22,40917,46,2,8,2,200,0,0,1,15,0,0,0,0,9999999,0,"Detroit-Warren-Dearborn, MI","N/A (not applicable)"
"7704643",750,41860,2022,2018,202203,443460,22,33632.6,1,4335391,2,22,192895,24,1,31,1,100,0,0,10,101,62,6203,0,0,116906,66,"San Francisco-Oakland-Hayward, CA","Business operations specialists, all other"
"15314355",9600,31080,2022,2019,202203,636005,13,11663.2,1,12828837,2,22,28705,13,1,40,7,700,1,100,6,63,0,0,0,0,28705,18,"Los Angeles-Long Beach-Anaheim, CA","Industrial truck and tractor operators"
"8188338",1240,31080,2022,2022,202203,1051935,8,5949.9,1,12828837,1,13,410000,8,2,30,1,100,0,0,11,114,62,6205,0,0,160000,81,"Los Angeles-Long Beach-Anaheim, CA","Other mathematical science occupations"
"4891116",0,47900,2022,2020,202203,2913828,2,4187.9,5,5636232,1,13,390934,3,1,16,1,100,0,0,4,40,0,0,0,0,0,0,"Washington-Arlington-Alexandria, DC-VA-MD-WV","N/A (not applicable)"
"2994254",0,0,2022,2019,202203,5970411,21,73.2,0,13340,2,22,46216,18,1,6,8,801,1,100,1,15,0,0,0,0,9999999,0,"Not in identifiable area","N/A (not applicable)"
"7735656",800,28940,2022,2021,202203,5768492,18,579.2,6,837571,1,13,107010,18,2,39,1,100,0,0,10,101,62,6203,0,0,55127,78,"Knoxville, TN","Accountants and auditors"
"5513407",0,35620,2022,2022,202203,4029713,10,4704.4,2,19567410,1,13,208730,11,2,11,1,100,0,0,1,17,0,0,0,0,9999999,0,"New York-Newark-Jersey City, NY-NJ-PA","N/A (not applicable)"
"13400938",5740,28940,2022,2021,202203,5783675,17,2234.9,6,837571,2,22,44696,17,2,33,1,100,0,0,10,101,60,6002,0,0,44696,61,"Knoxville, TN","Secretaries and administrative assistants, except legal, medical, and executive"
"6734398",120,0,2022,2022,202203,6358392,13,96.2,0,298567,1,12,30000,13,2,63,8,826,1,100,7,71,0,0,0,0,30000,68,"Not in identifiable area","Financial managers"
"15425211",9620,25500,2022,2022,202203,6619798,24,571.4,1,125225,1,13,105000,19,2,33,8,826,4,416,0,2,0,0,0,0,50000,8,"Harrisonburg, VA","Laborers and freight, stock, and material movers, hand"
"4729232",0,45300,2022,2021,202203,1590132,62,2877.9,1,2783243,2,22,63558,48,1,10,2,200,0,0,1,17,0,0,0,0,9999999,0,"Tampa-St. Petersburg-Clearwater, FL","N/A (not applicable)"
"13705046",6050,12540,2022,2021,202203,852225,32,760.5,1,839631,1,12,74583,33,1,53,8,826,1,100,1,17,0,0,0,0,19456,6,"Bakersfield, CA","Other agricultural workers"
"4010261",0,17820,2022,2019,202203,1122515,22,168.4,1,645613,1,13,307378,26,2,7,1,100,0,0,1,12,0,0,0,0,9999999,0,"Colorado Springs, CO","N/A (not applicable)"
"10747979",4020,0,2022,2020,202203,1994029,15,181.1,0,185079,1,12,63003,36,1,53,1,100,0,0,7,71,0,0,0,0,41473,15,"Not in identifiable area","Cooks"
